geo,start_year,end_year,pop_start_0_29,pop_end_30_59,deaths,migration,migration_pct
LV,1991,2021,1147171,783234,69302,-294635,-25.683616479147396
LV,1990,2020,1151056,790163,72596,-288297,-25.046305305736645
LV,1992,2022,1117506,776382,67043,-274081,-24.526132298171106
LV,1989,2019,1150564,796374,75913,-278277,-24.186138276532205
LV,1988,2018,1142311,802798,78829,-260684,-22.82075546851952
LV,1987,2017,1129278,809743,81535,-238000,-21.075412785868494
LT,1993,2023,1649944,1205413,97388,-347143,-21.039683771085564
LV,1993,2023,1080398,788902,64592,-226904,-21.001890044224446
LV,1994,2024,1051444,779667,61992,-209785,-19.952084942231828
BG,1989,2019,3725449,2819919,168330,-737200,-19.788218816040697
LV,1995,2025,1028883,769710,59480,-199693,-19.408717998061974
LV,1986,2016,1118844,817834,83918,-217092,-19.403241202526893
BG,1988,2018,3735887,2853427,171640,-710820,-19.02680675298798
LT,1994,2024,1624979,1224913,93167,-306899,-18.88633637727011
RO,1991,2021,10680282,8201702,475136,-2003444,-18.758343646731426
RO,1990,2020,10737612,8256170,484943,-1996499,-18.593510363384336
RO,1989,2019,10721286,8255883,497343,-1968060,-18.35656655367649
BG,1987,2017,3747119,2886463,175247,-685409,-18.29162618000656
LV,1985,2015,1111962,825060,86613,-200289,-18.012216244799735
BG,1990,2020,3593053,2783637,165014,-644402,-17.93466447614327
RO,1988,2018,10710817,8286937,511694,-1912186,-17.85284913373088
RO,1992,2022,10396686,8077795,474277,-1844614,-17.742326737577724
BG,1985,2015,3817385,2958799,183706,-674880,-17.679118034989923
LT,1995,2025,1594712,1223991,89097,-281624,-17.65986585665625
RO,1993,2023,10367850,8073013,469156,-1825681,-17.6090607020742
BG,1986,2016,3761327,2921501,179002,-660824,-17.568905867530262
RO,1987,2017,10712159,8319865,531723,-1860571,-17.36877691976006
RO,1994,2024,10340567,8084060,462723,-1793784,-17.347056500866927
RO,1995,2025,10313673,8100039,457997,-1755637,-17.022422564686703
BG,1984,2014,3826923,2991252,187418,-648253,-16.93927471234723
LV,1984,2014,1106002,830338,89235,-186429,-16.85611780087197
BG,1991,2021,3520739,2768394,163799,-588546,-16.716547293054102
RO,1986,2016,10728474,8392985,551762,-1783727,-16.62610171772798
BG,1992,2022,3458401,2732204,165034,-561163,-16.2260825161686
BG,1983,2013,3837822,3026588,192086,-619148,-16.132796153651732
RO,1985,2015,10778991,8473129,576146,-1729716,-16.047104965576093
LV,1983,2013,1098980,835739,91393,-171848,-15.63704526015032
RO,1984,2014,10820592,8552959,596260,-1671373,-15.44622512335739
RO,1983,2013,10867969,8608766,616158,-1643045,-15.118234142920356
BG,1995,2025,3312020,2659205,154435,-498380,-15.047614446772664
BG,1993,2023,3374696,2705754,161750,-507192,-15.02926485822723
BG,1994,2024,3344736,2684620,157948,-502168,-15.013681199353252
RO,1982,2012,10901903,8654431,636395,-1611077,-14.777942896758484
EE,1989,2019,683975,546391,36697,-100887,-14.750100515369713
EE,1990,2020,682830,550600,34971,-97259,-14.243515955655143
LV,1982,2012,1092060,842292,94227,-155541,-14.242898741827373
